Date, Open, High, Low, Close,%Change
10/25/10,1184.74,1196.14,1184.74,1185.62,0.215
10/22/10,1180.52,1183.93,1178.99,1183.08,0.239
10/21/10,1179.82,1189.43,1171.17,1180.26,0.177
10/20/10,1166.74,1182.94,1166.74,1178.17,1.052
10/19/10,1178.64,1178.64,1159.71,1165.9,-1.588
10/18/10,1176.83,1185.53,1174.55,1184.71,0.724
10/15/10,1177.47,1181.2,1167.12,1176.19,0.203
10/14/10,1177.82,1178.89,1166.71,1173.81,-0.364
10/13/10,1171.32,1184.38,1171.32,1178.1,0.712
10/12/10,1164.28,1172.58,1155.71,1169.77,0.382
10/11/10,1165.32,1168.68,1162.02,1165.32,0.015
10/08/10,1158.36,1167.73,1155.58,1165.15,0.612
10/07/10,1161.57,1163.87,1151.41,1158.06,-0.165
10/06/10,1159.81,1162.33,1154.85,1159.97,-0.067
10/05/10,1140.68,1162.76,1140.68,1160.75,2.086
10/04/10,1144.96,1148.16,1131.87,1137.03,-0.803
10/01/10,1143.49,1150.3,1139.42,1146.24,0.442
09/30/10,1145.97,1157.16,1136.08,1141.2,-0.308
09/29/10,1146.75,1148.63,1140.26,1144.73,-0.259
09/28/10,1142.31,1150,1132.09,1147.7,0.485
09/27/10,1148.64,1149.92,1142,1142.16,-0.567
09/24/10,1131.69,1148.9,1131.69,1148.67,2.119
09/23/10,1131.1,1136.77,1122.79,1124.83,-0.833
09/22/10,1139.49,1144.38,1131.58,1134.28,-0.483
09/21/10,1142.82,1148.59,1136.22,1139.78,-0.256
09/20/10,1126.57,1144.86,1126.57,1142.71,1.521
09/17/10,1126.39,1131.47,1122.43,1125.59,0.083
09/16/10,1123.89,1125.44,1118.88,1124.66,-0.036
09/15/10,1119.43,1126.46,1114.63,1125.07,0.354
09/14/10,1121.16,1127.36,1115.58,1121.1,-0.071
09/13/10,1113.38,1123.87,1113.38,1121.9,1.113
09/10/10,1104.57,1110.88,1103.92,1109.55,0.486
09/09/10,1101.15,1110.27,1101.15,1104.18,0.483
09/08/10,1092.36,1103.26,1092.36,1098.87,0.644
09/07/10,1102.6,1102.6,1091.15,1091.84,-1.147
09/03/10,1093.61,1105.1,1093.61,1104.51,1.322
09/02/10,1080.66,1090.1,1080.39,1090.1,0.908
09/01/10,1049.72,1081.3,1049.72,1080.29,2.950
08/31/10,1046.88,1055.14,1040.88,1049.33,0.039
08/30/10,1062.9,1064.4,1048.79,1048.92,-1.472
